***End_of_Header***
Time	Voltage
14.141000	-2.779444e-09
14.142000	-4.067752e-09
14.143000	-3.745675e-09
14.144000	-4.067752e-09
14.145000	-3.423598e-09
14.146000	-3.423598e-09
14.147000	-3.745675e-09
14.148000	-5.678137e-09
14.149000	-6.000215e-09
14.150000	-3.423598e-09
14.151000	-4.389829e-09
14.152000	-2.779444e-09
14.153000	-3.423598e-09
14.154000	-3.423598e-09
14.155000	-3.101521e-09
14.156000	-8.469809e-10
14.157000	-2.457366e-09
14.158000	-2.779444e-09
14.159000	-4.389829e-09
14.160000	-4.389829e-09
14.161000	-4.067752e-09
14.162000	-6.000215e-09
14.163000	-3.423598e-09
14.164000	-5.678137e-09
14.165000	-2.135289e-09
14.166000	-3.745675e-09
14.167000	-4.711906e-09
14.168000	-2.135289e-09
14.169000	-3.101521e-09
14.170000	-2.457366e-09
14.171000	-1.491135e-09
14.172000	-1.491135e-09
14.173000	-2.135289e-09
14.174000	-2.779444e-09
14.175000	-3.423598e-09
14.176000	-3.745675e-09
14.177000	-1.169058e-09
14.178000	-2.135289e-09
14.179000	-5.35606e-09
14.180000	-5.033983e-09
14.181000	-4.389829e-09
14.182000	-6.644369e-09
14.183000	-4.389829e-09
14.184000	-3.745675e-09
14.185000	-3.101521e-09
14.186000	-4.389829e-09
14.187000	-5.35606e-09
14.188000	-3.423598e-09
14.189000	-4.711906e-09
14.190000	-2.135289e-09
14.191000	5.197366e-08
14.192000	9.287746e-08
14.193000	9.64203e-08
14.194000	8.09606e-08
14.195000	6.292429e-08
14.196000	4.488797e-08
14.197000	2.556334e-08
14.198000	2.813996e-08
14.199000	1.815557e-08
14.200000	8.493255e-09
14.201000	5.594561e-09
14.202000	-2.779444e-09
14.203000	6.238715e-09
14.204000	1.042572e-08
14.205000	1.332441e-08
14.206000	1.396857e-08
14.207000	1.171403e-08
14.208000	1.268026e-08
14.209000	1.364649e-08
14.210000	1.525687e-08
14.211000	1.332441e-08
14.212000	1.396857e-08
14.213000	1.461272e-08
14.214000	1.300233e-08
