***End_of_Header***
Time	Voltage
4.211000	-4.6119059999999997e-10
4.212000	-3.001521e-10
4.213000	-2.035289e-10
4.214000	-1.713212e-10
4.215000	2.1925040000000002e-11
4.216000	8.634046e-11
4.217000	2.151713e-10
4.218000	3.440021e-10
4.219000	1.829636e-10
4.220000	2.1925040000000002e-11
4.221000	-1.028267e-11
4.222000	-2.357366e-10
4.223000	-3.645675e-10
4.224000	-3.645675e-10
4.225000	-1.073137e-09
4.226000	-7.188523000000001e-10
4.227000	-7.832677e-10
4.228000	-9.443063e-10
4.229000	-7.188523000000001e-10
4.230000	-7.5106e-10
4.231000	-9.120986000000001e-10
4.232000	-3.645675e-10
4.233000	-4.6119059999999997e-10
4.234000	-1.713212e-10
4.235000	8.634046e-11
4.236000	2.151713e-10
4.237000	2.795867e-10
4.238000	2.151713e-10
4.239000	-1.391135e-10
4.240000	5.4132749999999996e-11
4.241000	-3.9677519999999997e-10
4.242000	-1.713212e-10
4.243000	-2.6794439999999996e-10
4.244000	-5.578137e-10
4.245000	-6.222292e-10
4.246000	-7.188523000000001e-10
4.247000	-7.5106e-10
4.248000	-1.073137e-09
4.249000	-5.578137e-10
4.250000	-5.578137e-10
4.251000	-3.9677519999999997e-10
4.252000	-3.9677519999999997e-10
4.253000	-2.035289e-10
4.254000	-7.469809e-11
4.255000	1.507559e-10
4.256000	3.117944e-10
4.257000	4.0841760000000003e-10
4.258000	3.440021e-10
4.259000	5.372484e-10
4.260000	1.149195e-09
4.261000	3.6255599999999995e-08
4.262000	5.0620239999999996e-08
4.263000	5.519373e-08
4.264000	5.5225939999999995e-08
4.265000	5.1876339999999997e-08
4.266000	4.865557e-08
4.267000	4.520934e-08
4.268000	4.070026e-08
4.269000	3.564365e-08
4.270000	3.24873e-08
4.271000	2.8332500000000002e-08
4.272000	2.5401600000000003e-08
4.273000	2.408108e-08
4.274000	2.4145500000000003e-08
4.275000	2.511173e-08
4.276000	2.6947570000000003e-08
4.277000	2.8944450000000002e-08
4.278000	3.184314e-08
4.279000	6.579007e-08
4.280000	7.564563e-08
4.281000	7.693394e-08
4.282000	7.496927e-08
4.283000	7.132979999999999e-08
4.284000	6.653085e-08
4.285000	6.166748e-08
4.286000	5.777035e-08
4.287000	5.438854e-08
4.288000	5.136102e-08
4.289000	4.804362e-08
4.290000	4.45974e-08
4.291000	4.108676e-08
4.292000	3.760832e-08
4.293000	3.4097679999999996e-08
4.294000	3.0426e-08
4.295000	2.6786530000000003e-08
4.296000	2.4145500000000003e-08
4.297000	2.1472260000000002e-08
4.298000	1.863798e-08
4.299000	1.6351230000000002e-08
4.300000	1.45476e-08
4.301000	1.303384e-08
4.302000	1.190657e-08
4.303000	1.087592e-08
4.304000	9.619823e-09
4.305000	8.750215e-09
4.306000	8.138268e-09
4.307000	7.526321999999999e-09
4.308000	7.107621e-09
4.309000	6.721129e-09
4.310000	6.5922979999999994e-09
4.311000	6.753336e-09
4.312000	6.463467e-09
4.313000	5.7548969999999995e-09
4.314000	5.078536e-09
4.315000	4.17672e-09
4.316000	3.2749040000000004e-09
4.317000	2.791788e-09
4.318000	2.212049e-09
4.319000	1.632311e-09
4.320000	1.21361e-09
4.321000	8.593255e-10
4.322000	6.982869999999999e-10
4.323000	4.0841760000000003e-10
4.324000	1.185482e-10
4.325000	-1.0690579999999999e-10
4.326000	-2.6794439999999996e-10
4.327000	-4.289829e-10
4.328000	-5.578137e-10
4.329000	-4.6119059999999997e-10
4.330000	-3.3235979999999997e-10
4.331000	-2.035289e-10
4.332000	-1.391135e-10
4.333000	-1.713212e-10
4.334000	2.47379e-10
4.335000	4.0841760000000003e-10
4.336000	4.0841760000000003e-10
4.337000	5.372484e-10
4.338000	4.72833e-10
4.339000	8.634046e-11
4.340000	1.507559e-10
4.341000	-4.249038e-11
4.342000	-7.469809e-11
4.343000	-1.713212e-10
4.344000	-4.6119059999999997e-10
4.345000	-5.578137e-10
4.346000	-7.188523000000001e-10
4.347000	-9.120986000000001e-10
4.348000	-9.443063e-10
4.349000	-7.188523000000001e-10
4.350000	-1.105345e-09
4.351000	-5.256060000000001e-10
4.352000	-3.9677519999999997e-10
4.353000	-4.933983e-10
4.354000	-1.391135e-10
4.355000	2.1925040000000002e-11
4.356000	1.829636e-10
4.357000	2.795867e-10
4.358000	3.440021e-10
4.359000	2.151713e-10
4.360000	5.4132749999999996e-11
4.361000	-3.645675e-10
4.362000	-2.035289e-10
4.363000	-2.357366e-10
4.364000	-5.578137e-10
4.365000	-5.900215000000001e-10
4.366000	-7.188523000000001e-10
4.367000	-1.008722e-09
4.368000	-9.120986000000001e-10
